ETH-Ask,ETH-Bid,ETH-Last,BTC-Ask,BTC-Bid,BTC-Last,BCH-Ask,BCH-Bid,BCH-Last,LTC-Ask,LTC-Bid,LTC-Last,BSV-Ask,BSV-Bid,BSV-Last,XMR-Ask,XMR-Bid,XMR-Last
134.53,134.34500003,134.46,3814,3806.31702749,3814,164.98294681,163.61792995,164.81698712,31.43933693,31.26947519,31.35736683,89.25,88.7557036,89.25,47.61366966,47.10779941,47.81915045
134.46999994,134.11,134.48999998,3819.07826646,3807.64485328,3814,164.80697804,164,164.81698712,31.43933693,31.26947591,31.35736683,89.25,88.7557036,89.25,47.51341874,47.10779941,47.81915045
134.21,133.9,133.9,3817.91751704,3806.4875789,3806.4875789,165.08222453,163.72606292,164,31.3197731,31.22211485,31.35736683,89.24999995,88.75570359,89.25,47.59550926,47.0847416,47.51341874
134.67,134.57999998,134.57999998,3819.98567249,3808.92875143,3808.92875138,164.99620905,163.72620296,164,31.45504239,31.22211768,31.31977312,89.25,88.7557036,89.25,47.63397151,47.08474233,47.51341874
135.24999994,134.93,135.46,3824.92314718,3815.17003064,3813.47223591,165.13616374,163.72636702,165.13616375,31.54228801,31.29203453,31.31977312,89.25,88.75570363,89.25,47.63397034,47.08474448,47.08474448
135.47,135.27,135.21,3829.80994433,3818.34440307,3829.87109432,165.9071317,164.81005808,165.93496098,31.61415314,31.40317157,31.44573434,89.25,88.75570367,89.25,47.86897086,47.25228428,47.08474448
135.52999994,135.2,135.26,3824.55101836,3813.10122115,3814.10122115,165.75105037,164.59829413,165.93496098,31.60420059,31.40416091,31.40416091,89.25,88.75570367,89.25,47.78979613,47.254699,47.08474448
135.3,135.01,135.35,3823.88616615,3817.71770492,3816.27563372,165.66118879,164.37250957,165.93496098,31.64604482,31.40416341,31.64604494,89.25,88.75570367,89.25,47.78972703,47.25469911,47.08474448
135.11,134.92,135.35,3820.86480071,3811.94638194,3820.86480071,165.66118857,163.92603499,164.37250993,31.58503451,31.35085626,31.58503452,89.24999986,88.7557037,89.25,47.69963104,47.2247192,47.08474448
135.42999995,134.99,135.19,3825.42530074,3815.07846584,3824.55101839,165.19317625,163.79131305,165.19317625,31.66235095,31.35085882,31.3508577,89.24999993,88.7557037,89.25,47.69963028,47.1597378,47.22471939
135.29164291,134.99,135.1,3825.00204174,3816.41368112,3825.00204177,165.03236333,163.80063037,165.19317613,31.50658339,31.3508603,31.3508577,88.91513167,88.39415226,89.25,47.68294573,47.22190386,47.22471939
136.44,136.12,136,3825.00204177,3823.9034589,3825.00204177,165.93496098,164.07621247,165.82132305,31.67358842,31.40225796,31.5092558,89.16024775,88.33770474,89.25,47.91283411,47.22190504,47.91283411
136.09999997,135.35698061,136.2,3828.04663236,3816.58636999,3825,166.85148335,165.35952611,166.4514662,31.7266478,31.40225805,31.72796,89.24999999,88.33770569,89.25,48.21738557,47.30972039,48.1
134.30999999,133.94,134.89,3811.49759282,3803.24635011,3816.41368112,164.70761687,163.83339274,166.4514662,31.4748409,31.15810542,31.72796,89.19334527,87.93824586,88.33770569,47.8654506,47.3097227,48.1
132.40960581,131.52519515,132.40960585,3790.41199493,3782.12403665,3786.94560408,163.8767841,161.56989389,161,30.94334098,30.72188377,30.933,89.19333998,87.26100182,87.26100182,47.24405517,46.72111127,47.22190397
132.49,132.20000002,132.71204767,3792.38674888,3785.70671971,3792.38674891,163.87670785,162.28743937,163.87671458,30.94334098,30.79540763,30.94334098,88.42825435,87.26100187,87.26100182,47.16814086,46.72111223,47.22190397
132.53104445,131.83,132.29000002,3777.92147196,3777.92,3777.92,163.8766382,162.40215442,162.40212581,30.94334053,30.74503057,30.94334053,88.4282535,87.43326732,88.42825382,47.13215612,46.84791297,46.72111224
132.52,132.23,132.28,3787,3781.68401856,3781.68401856,163.87657977,162.08543131,162.40216717,30.94334098,30.9,30.9,88.42825456,87.43326735,88.42825382,47.23833532,46.76532656,46.72111224
133.61289998,133.33000002,133.61289998,3798.01536514,3790.82168482,3798.59418266,163.54410637,162.37169979,162.37169979,30.94334098,30.9,30.9,88.31448436,87.43326736,88.42825382,47.35277298,46.87008858,46.72111224
133.60499998,133.33,133.9,3791.99999994,3785.6845973,3787.4519929,164.02694598,162.37174597,162.37169979,31.22739941,30.92197058,30.92197034,88.52037342,87.53732152,88.42825382,47.31623665,46.8170218,46.87008998
133,132.56113212,133,3790.36037115,3780.92852214,3785.6845973,164.02685419,162.37170712,162.37169979,31.16348732,30.94197111,31.16367233,88.52037342,87.53732178,88.42825382,47.2008546,46.87008998,46.87008998
133.48348035,132.50136568,132.95957218,3791.02527662,3785.03288608,3795.15700215,163.70468235,162.37169979,162.37169979,31.1478509,30.94197111,31.15286199,88.52037342,87.53732181,88.42825382,47.20055621,46.87008998,46.87008998
132.69853802,131.88920333,132.39707587,3788.05925388,3779.06538977,3785.84088929,162.99705329,162.0854257,162.0854257,31.05777344,30.9,30.9,88.52037342,87.53732201,88.42825382,47.16133867,46.87008998,46.87008998
132.89899996,132.34198949,132.26933556,3785.91266153,3779.06538977,3781.53871396,163.06051584,162.0854257,162.0854257,31.05577493,30.9,30.9,88.52037334,87.53732172,88.42825382,47.17836431,46.87008998,46.87008998
132.999,132.75,132.75,3788.54577599,3781.18711859,3781.53871396,163.06050976,162,162,31.05127488,30.78699691,30.9,88.5203725,87.53732231,88.42825382,47.15817035,46.87008998,46.87008998
132.08,131.7,132.48119067,3785.1555404,3775.06538977,3775.3401326,162.55487317,161.15463676,162,31.04679176,30.78699691,31.0512743,88.52037034,87.53732231,88.42825382,47.10455482,46.87008998,47.14627588
132.51,132.24,132.05,3787.8376372,3779.30727998,3779.30727995,163.30410507,161.3785711,162.55490878,31.03861014,30.78999691,31.0512743,88.52036879,87.53732231,88.42825382,47.24943267,46.89989005,47.14627588
132.73,132.45,132.13,3792.17353698,3780.82067014,3780.82067015,164.30875625,161.84267326,162.55490878,31.03626609,30.78999691,31.0512743,88.52036797,87.60393478,88.42825382,47.26126454,46.92864074,47.14627588
132.54,132.31,132.45,3786.64155569,3775.3977188,3786.6415557,163.3805928,162.09603522,162.55490878,30.92272949,30.73699861,30.73699899,88.52036754,87.60393478,88.42825382,47.21275226,46.92841561,47.18827866
132.22,131.92,131.92,3784.5656661,3775.13653128,3775.39771881,163.38052896,160.9920626,160.9920566,30.91494403,30.7369986,30.73699899,88.52036577,87.60393478,88.42825382,47.20754471,46.9284156,47.18827866
131.91,131.61000001,131.85000001,3775.39771881,3772.431,3775.39771881,162.49063095,161.16063782,160.9920566,30.77608844,30.64297617,30.7369986,89.24999783,87.60393478,88.42825382,47.12617483,46.81482026,47.18827866
132.36,132.05,131.62,3785.17067197,3775.34830555,3780.47821029,162.4905674,160.61435893,160.9920566,30.81032995,30.63321161,30.81033016,88.74157959,87.26100189,88.42825382,47.21181299,46.73911361,47.18827866
132.65,132.38,132.68,3789.12797265,3781.21691185,3785.32550305,163.24829433,160.61445253,162.80566735,30.9952372,30.69349409,30.81032995,88.74157696,87.26100189,88.42825382,47.27349585,46.81225091,47.18827866
132.7,132.48000002,132.54,3788.2657367,3780.6530033,3788.2657367,163.24829215,161.39252577,162.80566735,30.990392,30.70023564,30.81032995,88.41659024,87.48658374,88.42825382,47.28913561,46.8920215,47.18827866
132.78,132.49,132.7,3791.96010447,3783.65944044,3788.26573666,163.14848166,161.32192882,162,30.99039016,30.7582768,30.81032995,88.41053104,87.48658378,88.42825382,47.3047967,46.93730964,47.18827866
133.17999997,132.86,132.86,3798.07581315,3793.77,3798.07581306,162.94604815,161.59014293,163.14848228,31.08869798,30.82767005,30.82766997,88.74063336,87.7943586,88.42825382,47.4322925,47.07770268,47.18827866
132.88,132.52,132.485,3798.17611981,3789.75278127,3788.97642,163.38739131,162.12455523,163.14848228,31.05010963,30.75563758,30.82766997,88.64241497,87.79435863,88.42825382,47.41804381,46.93731004,47.18827866
132.44999997,132.08,132.08,3791.53399764,3784.1773914,3784.1773914,162.66764435,161.58736312,163.14848228,31.04324788,30.74080222,30.82766997,88.64241494,87.8180456,88.42825382,47.39116014,47.09281843,47.18827866
132.78,132.48,132.08,3796.14702163,3784.78225914,3783.00000009,162.74845983,161.65081103,162.66764435,31.03958779,30.74080223,30.82766997,88.45637677,87.8180456,88.42825382,47.49604591,47.21552439,47.18827866
133.11,132.77,132.85,3798.42066418,3787.48454537,3784.78225914,162.66764435,161.65235385,162.66764435,31.03958746,30.79661696,30.82766997,88.45637677,87.81804559,88.42825382,47.55027525,47.29045293,47.18827866
133.08,132.87,132.85,3800,3791.55493376,3798.42066418,162.66764435,161.65257162,162.66764435,31.11098386,30.87967429,30.82766997,88.45637677,87.8180456,88.42825382,47.43247017,47.10578649,47.18827866
133.06999997,132.72,132.85,3803.03558929,3791.6502041,3800,162.85029583,161.91592375,162.66764435,31.24761585,30.92255185,30.82766997,88.45637674,87.81804566,88.42825382,47.56825063,47.03378779,47.46992833
132.825,132.55,132.87,3803.19440013,3787.48454544,3793.34845258,162.84541676,161.91592202,162.09159237,31.21482708,30.89060926,30.92255197,88.42118179,87.81804566,88.42825382,47.43803527,47.14724186,47.46992833
133.09,132.76,132.515,3803.1944001,3801,3801,163.2091595,162.10037398,162.09159237,31.17227627,30.86601012,30.92255197,88.45637677,87.81804567,88.42825382,47.46992833,47.11022107,47.46992833
132.68,132.52,132.515,3794.07494313,3783.84274488,3760.19200456,162.86918669,161.86157688,162.09159237,31.17208909,30.88543963,30.92255197,88.45637673,87.81804567,88.42825382,47.46992832,47.2259458,47.46992833
132.53999997,132.25,132.36,3791.34473378,3781.84318849,3791.34473381,162.80092803,161.70935421,162.09159237,31.14068011,30.79152313,31.14715893,88.45637673,87.81804567,88.42825382,47.35492973,47.10350682,47.36733385
132.41688657,132.32,131.89,3792.2988173,3784.40488085,3787.65993262,163.09784497,161.3206441,161.85709354,31.06322468,30.78466186,31.14715893,88.45637666,87.81804562,88.42825382,47.34452852,46.93730962,47.36733385
132.5780592,132.32,132.23,3790.41197302,3785.47616045,3785,162.21767471,161.39420128,161.85709354,31.13903233,30.83081354,31.14715893,88.45637666,87.81804566,88.42825382,47.43142111,47.15745843,47.4377765
132.55999986,132.3,132.3,3792.24443688,3785.99852182,3785.47616046,162.2754979,161.45197331,161.85709354,31.13837956,30.85456269,31.14715893,88.45637666,87.81804566,88.42825382,47.46538903,47.12050014,47.4377765
132.26999995,131.99,132.24999997,3785.86853118,3783.2096886,3786.05752027,162.33698611,161.4520301,161.85709354,31.09960376,30.8311098,31.14715893,88.45637661,87.81804566,88.42825382,47.30543316,47.07482837,47.4377765
132.03,131.78,131.99,3787.187553,3781.89980997,3786.05752027,161.99999997,161.45198804,161.85709354,31.0631328,30.8311098,31.14715893,88.31632029,87.81804565,88.42825382,47.24640198,46.93730961,47.26791317
131.99,131.76000003,131.715,3788.99894744,3783.00000006,3783.3600629,161.99999966,160.86567131,161.45198804,31.03575077,30.8311098,31.14715893,88.31632015,87.8180457,88.42825382,47.26791317,47.03908656,47.26791317
131.83499995,131.56,131.61,3787.64811992,3777.43960703,3783.61302318,161.86758639,160.58602975,161.45198804,30.93169923,30.72755065,30.72755071,87.8,87.66912569,87.81804565,47.19638598,46.93730961,46.9387738
131.97999994,131.66,131.97999994,3787.32064653,3781.45216153,3783.61302318,161.30409734,160.00004166,160.58602975,30.92649866,30.72755065,30.72755071,87.8,87.66912574,87.66912572,47.19238294,46.93730961,46.9387738
131.99,131.78,131.97999994,3790.2082449,3784.2009803,3790.58371043,160.89669216,160.00004175,160.58602975,30.92621008,30.72755073,30.72755071,87.8,87.36801352,87.8,47.26791317,46.97422436,46.9387738
132.63000001,132.45,131.99,3798.67429228,3790.03624058,3792.06460746,161.29723586,160.34336547,160.58602975,31.08934369,30.83391247,30.92621013,88.45637672,87.49588665,87.8,47.26791317,47.13937285,47.26791317
132.84500001,132.69000006,131.99,3801.46094889,3791.39599807,3792.1811744,161.63336101,160.58602981,160.58602975,31.0850181,30.83391281,30.92621013,88.45637675,87.53142346,87.8,47.26791317,47.02625162,47.26791317
133,132.8,132.75500005,3799.00056747,3790.6011226,3792.1811744,161.39779462,160.58602979,161.39779461,31.02869153,30.86772272,30.92621013,88.45637672,87.53142367,87.8,47.26791317,47.02625194,47.26791317
133.105,133,133,3797.70774813,3791.36290492,3792.1811744,161.65942441,160.45941099,161.39779461,31.07358035,30.86772272,30.92621013,88.45637672,87.61510204,87.8,47.26791317,47.02625226,47.26791317
132.925,132.85,133,3797.17688342,3790.03624062,3800.0658016,161.55890321,160.45941094,161.55890326,31.03158278,30.86772271,30.92621013,88.45637672,87.61510204,87.8,47.26791317,47.14408211,47.26791317
133,132.67000006,132.925,3798.98685028,3793.86620037,3793.45713452,161.68071624,160.72434404,161.55890326,31.03158304,30.86772271,30.92621013,88.4563767,87.61510204,87.8,47.26791317,47.06754081,47.26791317
133.47214538,133.25,133.23,3800.2291526,3792.88020025,3800.2291526,162.12590474,160.75632656,161.55890326,31.04067694,30.86772272,30.92621013,88.45637673,87.83528902,87.8,47.26791317,47.14974861,47.26791317
134.90418072,134.6,134.33008438,3811,3803.40013658,3810,165.34225724,160.75637487,163.20915953,31.24971064,30.96308091,30.92621013,88.45637677,87.83528902,87.8,47.67520522,47.14975058,47.26791317
135.24999997,134.9,135.45418072,3822.97118013,3811.52611251,3823.64556292,163.44934671,162.00001984,163.20915953,31.42266246,31.06811677,31.5,89.24999981,87.83529056,88.45637677,47.60061284,47.14975323,47.8525138
134.89,134.55,134.87499999,3815.79996888,3808.2515572,3816.80314569,163.30047191,162.11876642,163.20915953,31.39895757,31.06840305,31.5,89.24999976,87.83529216,88.45637677,47.49196287,47.11398328,47.8525138
135.27,134.99000003,135.05,3823.15246006,3813.66888132,3816.80314569,163.82936383,162.89346968,163.20915953,31.32536474,31.13191418,31.068774,89.24999999,87.83529324,88.45637677,47.7698481,47.12952551,47.69738213
135.03,134.66,134.52,3816.8548218,3809.66139645,3819.99999994,163.53538544,162.45304919,163.20915953,31.30651185,31.13201586,31.068774,89.24999923,87.83529534,88.45637677,47.72063319,47.1295284,47.69738213
135.01500001,134.86,134.95,3817.16477806,3810.10743227,3818.21373546,163.53536067,162.28234626,163.20915953,31.29509287,31.06774334,31.068774,89.24999979,87.83529673,88.45637677,47.69777629,47.29263654,47.69777633
134.87499998,134.83,134.95,3814.12029619,3806.71884331,3814.12029625,163.15190124,161.99122589,161.99122589,31.3206797,31.15398228,31.068774,89.24999739,87.83529863,88.45637677,47.59947444,47.17300242,47.69777633
136.42,136.1,136.15999997,3823.81526832,3816.30263613,3819.99999994,164.08699853,162.01008579,163.44412477,31.5399474,31.19639343,31.19472021,89.25,88.57839348,89.24999999,47.77488194,47.17300289,47.79838822
135.48,135.14,135.7,3813.79296578,3805.2682098,3813.81634884,163.51841721,162.38493658,163.44412477,31.38564066,31.1971943,31.19472021,89.1464347,88.57839352,89.24999999,47.66304861,47.13222568,47.79838822
135.29,135.01000003,134.83,3818.27759091,3806.35193905,3806.32652612,164.41038867,162.87099642,164.57768307,31.35037296,31.19719443,31.19472021,89.23272873,88.57839352,89.24999999,47.61362631,47.1237208,47.79838822
135.54,135.2,135.2,3817.13037561,3807.33653217,3822.58256348,164.53968712,163.21301327,164.53968716,31.48306818,31.19819602,31.19472021,89.24999995,88.57839352,89.24999999,47.6630486,47.12372118,47.79838822
135.64500003,135.47000003,135.47000008,3816.4186605,3807.61172034,3805.86069018,164.29294585,163.35713614,164.29294585,31.55607123,31.2274899,31.19831405,89.24999994,88.57839352,89.24999999,47.25851224,46.54561619,46.8194932
136.60418071,136.36,136.45,3821.71729715,3814,3814.92996848,164.61049434,163.19126753,163.16309154,31.55608041,31.24252568,31.22749073,88.57839354,88.57839351,88.57839354,47.62500749,46.67470115,47.76289929
